2020-11-13 06:01:34	7001	20,4	50
2020-11-13 06:02:05	8700	19,2	47
2020-11-13 06:02:10	6a02	34	18
2020-11-13 06:02:41	7001	20,4	50
2020-11-13 06:03:01	8700	19,2	47
2020-11-13 06:03:30	6a02	33,9	18
2020-11-13 06:03:47	7001	20,4	50
2020-11-13 06:03:58	8700	19,2	47
2020-11-13 06:04:54	7001	20,4	50
2020-11-13 06:04:56	8700	19,2	47
2020-11-13 06:05:52	8700	19,2	47
2020-11-13 06:06:02	7001	20,4	50
2020-11-13 06:06:07	6a02	34	18
2020-11-13 06:06:50	8700	19,2	47
2020-11-13 06:07:08	7001	20,4	50
2020-11-13 06:07:27	6a02	34	18
2020-11-13 06:07:46	8700	19,2	47
2020-11-13 06:08:16	7001	20,4	50
2020-11-13 06:08:43	8700	19,2	47
2020-11-13 06:08:45	6a02	33,9	18
2020-11-13 06:09:23	7001	20,4	50
2020-11-13 06:09:40	8700	19,2	47
2020-11-13 06:10:05	6a02	33,9	18
2020-11-13 06:10:37	8700	19,2	47
2020-11-13 06:11:23	6a02	33,9	18
2020-11-13 06:11:36	7001	20,4	50
2020-11-13 06:12:43	7001	20,4	50
2020-11-13 06:13:51	7001	20,4	50
2020-11-13 06:16:04	7001	20,4	49
2020-11-13 06:16:40	6a02	33,8	18
2020-11-13 06:17:16	8700	19,2	47
2020-11-13 06:18:13	8700	19,1	47
2020-11-13 06:19:10	8700	19,1	47
2020-11-13 06:20:33	7001	20,4	49
2020-11-13 06:21:05	8700	19,1	47
2020-11-13 06:21:56	6a02	33,8	18
2020-11-13 06:22:46	7001	20,4	49
2020-11-13 06:25:49	8700	19,1	47
2020-11-13 06:36:17	8700	19,1	47
2020-11-13 06:37:14	8700	19,1	47
2020-11-13 07:22:29	6a02	33,2	18
2020-11-13 07:23:05	7001	20,3	49
2020-11-13 07:23:48	6a02	33,2	18
2020-11-13 07:24:44	8700	19,1	47
2020-11-13 07:25:07	6a02	33,2	18
2020-11-13 07:25:19	7001	20,3	49
2020-11-13 07:25:40	8700	19	47
2020-11-13 07:26:26	6a02	33,2	18
2020-11-13 07:26:37	8700	19	47
2020-11-13 07:27:32	7001	20,3	49
2020-11-13 07:27:34	8700	19	47
2020-11-13 07:27:45	6a02	33,2	18
2020-11-13 07:28:31	8700	19	47
2020-11-13 07:29:29	8700	19	47
2020-11-13 07:29:47	7001	20,3	49
2020-11-13 07:30:23	6a02	33,2	18
2020-11-13 07:30:25	8700	19	47
2020-11-13 07:30:54	7001	20,3	49
2020-11-13 07:31:23	8700	19	47
2020-11-13 07:31:42	6a02	33,1	18
2020-11-13 07:32:00	7001	20,3	49
2020-11-13 07:32:19	8700	19	47
2020-11-13 07:33:01	6a02	33,1	18
2020-11-13 07:33:07	7001	20,3	49
2020-11-13 07:33:17	8700	19	47
2020-11-13 07:34:13	8700	19	47
2020-11-13 07:34:15	7001	20,3	49
2020-11-13 07:34:20	6a02	33,1	18
2020-11-13 07:35:11	8700	19	47
2020-11-13 07:35:22	7001	20,3	49
2020-11-13 07:35:39	6a02	33,1	18
2020-11-13 07:36:07	8700	19	47
2020-11-13 07:36:29	7001	20,4	49
2020-11-13 07:36:58	6a02	33,1	18
2020-11-13 07:37:04	8700	19	47
2020-11-13 07:37:35	7001	20,4	49
2020-11-13 07:38:01	8700	19	47
2020-11-13 07:38:17	6a02	33,1	18
2020-11-13 07:38:43	7001	20,4	49
2020-11-13 07:38:59	8700	19	47
2020-11-13 07:39:36	6a02	33,1	18
2020-11-13 07:39:55	8700	19	47
2020-11-13 07:40:53	8700	19	47
2020-11-13 07:40:55	6a02	33	18
2020-11-13 07:40:57	7001	20,4	49
2020-11-13 07:41:49	8700	19	47
2020-11-13 07:42:04	7001	20,4	49
2020-11-13 07:42:14	6a02	33	18
2020-11-13 07:42:46	8700	19	47
2020-11-13 07:43:11	7001	20,4	49
2020-11-13 07:43:33	6a02	33	18
2020-11-13 07:43:44	8700	19	47
2020-11-13 07:44:17	7001	20,4	49
2020-11-13 07:44:41	8700	19	47
2020-11-13 07:44:52	6a02	33	18
2020-11-13 07:45:37	8700	19	47
2020-11-13 07:46:10	6a02	33	18
2020-11-13 07:46:34	8700	19	47
2020-11-13 07:47:30	6a02	33	18
2020-11-13 07:47:31	8700	19	47
2020-11-13 07:48:28	8700	19	47
2020-11-13 07:48:45	7001	20,4	49
2020-11-13 07:48:49	6a02	33,1	18
